"Year","StateAbbr","StateDesc","CountyName","CountyFIPS","LocationName","DataSource","Category","Measure","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","TotalPopulation","TotalPop18plus","Geolocation","LocationID","CategoryID","MeasureId","DataValueTypeID","Short_Question_Text"
"2023","DC","District of Columbia","District of Columbia","11001","11001010800","BRFSS","Disability","Self-care disability among adults","%","Crude prevalence","1.8",,,"1.5","2.0","6,879","6,779","POINT (-77.044612 38.8973521)","11001010800","DISABLT","SELFCARE","CrdPrv","Self-care Disability"
"2023","DC","District of Columbia","District of Columbia","11001","11001009904","BRFSS","Health-Related Social Needs","Lack of social and emotional support among adults","%","Crude prevalence","30.5",,,"26.0","35.4","2,886","2,076","POINT (-76.9311353 38.8851712)","11001009904","SOCLNEED","EMOTIONSPT","CrdPrv","Lack of Social/Emotional Support"
"2023","DC","District of Columbia","District of Columbia","11001","11001010300","BRFSS","Health Status","Frequent physical distress among adults","%","Crude prevalence","11.0",,,"9.5","12.5","3,604","2,818","POINT (-77.0271875 38.9761556)","11001010300","HLTHSTAT","PHLTH","CrdPrv","Frequent Physical Distress"
"2022","DC","District of Columbia","District of Columbia","11001","11001011002","BRFSS","Health Risk Behaviors","Short sleep duration among adults","%","Crude prevalence","28.2",,,"23.3","33.3","1,859","1,791","POINT (-77.0182455 38.8681789)","11001011002","RISKBEH","SLEEP","CrdPrv","Short Sleep Duration"
"2022","DC","District of Columbia","District of Columbia","11001","11001009902","BRFSS","Prevention","Visited dentist or dental clinic in the past year among adults","%","Crude prevalence","63.3",,,"58.5","67.9","2,774","2,242","POINT (-76.9445542 38.8717861)","11001009902","PREVENT","DENTAL","CrdPrv","Dental Visit"
"2023","DC","District of Columbia","District of Columbia","11001","11001010800","BRFSS","Health-Related Social Needs","Lack of social and emotional support among adults","%","Crude prevalence","24.8",,,"20.8","28.9","6,879","6,779","POINT (-77.044612 38.8973521)","11001010800","SOCLNEED","EMOTIONSPT","CrdPrv","Lack of Social/Emotional Support"
"2023","DC","District of Columbia","District of Columbia","11001","11001010201","BRFSS","Health Outcomes","High blood pressure among adults","%","Crude prevalence","17.9",,,"15.3","20.6","3,341","3,192","POINT (-77.0184625 38.8779576)","11001010201","HLTHOUT","BPHIGH","CrdPrv","High Blood Pressure"
"2023","DC","District of Columbia","District of Columbia","11001","11001980000","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","82.5",,,"79.1","85.7","176","167","POINT (-77.0363219 38.8809933)","11001980000","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
"2023","DC","District of Columbia","District of Columbia","11001","11001011001","BRFSS","Health Outcomes","Coronary heart disease among adults","%","Crude prevalence","4.2",,,"3.7","4.8","2,423","2,203","POINT (-77.0157419 38.8741656)","11001011001","HLTHOUT","CHD","CrdPrv","Coronary Heart Disease"
"2023","DC","District of Columbia","District of Columbia","11001","11001009907","BRFSS","Health Status","Frequent physical distress among adults","%","Crude prevalence","15.4",,,"13.4","17.8","2,259","1,701","POINT (-76.9388146 38.8827718)","11001009907","HLTHSTAT","PHLTH","CrdPrv","Frequent Physical Distress"
